Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
1.810119701E0,2.959300041E0,-1.17E+00,3.032299995E0,4.396895479E0,0.00E+00
1.820119701E0,3.656899929E0,-1.65E+00,2.527400017E0,4.742198910E0,0.00E+00
1.830119701E0,3.238600016E0,-1.77E+00,1.374899983E0,3.937556400E0,0.00E+00
1.840119701E0,2.386999846E0,-1.64E+00,-1.45E-01,2.897498993E0,0.00E+00
1.850119701E0,1.079200029E0,-1.74E+00,-5.40E-01,2.114753746E0,0.00E+00
1.860119701E0,-3.11E-01,-2.33E+00,-5.76E-01,2.423643212E0,0.00E+00
1.870119701E0,-2.00E+00,-2.70E+00,-3.27E-01,3.375841232E0,0.00E+00
1.880119701E0,-3.30E+00,-2.56E+00,-1.90E-01,4.179162224E0,0.00E+00
1.890121263E0,-3.40E+00,-2.25E+00,-3.00E-01,4.088749479E0,0.00E+00
1.900119701E0,-2.17E+00,-1.45E+00,-6.18E-01,2.679379666E0,0.00E+00
1.910119701E0,-1.29E+00,-3.61E-01,-1.43E+00,1.960269199E0,0.00E+00
1.920119701E0,-6.79E-01,9.408999681E-1,-1.94E+00,2.256998538E0,0.00E+00
1.930119701E0,-2.30E-01,1.985099912E0,-2.66E+00,3.326729927E0,0.00E+00
1.940119701E0,-1.29E-01,2.388700008E0,-3.12E+00,3.932247554E0,0.00E+00
1.950119701E0,-3.17E-02,2.466799974E0,-2.59E+00,3.579361755E0,0.00E+00
1.960121263E0,-3.08E-01,2.729499817E0,-1.21E+00,3.000012490E0,0.00E+00
1.970121263E0,-1.01E+00,2.342299938E0,3.999999724E-3,2.552765162E0,0.00E+00
1.980119701E0,-1.60E+00,2.170300007E0,4.594999850E-1,2.735789319E0,0.00E+00
1.990119701E0,-1.59E+00,2.361999989E0,3.768999875E-1,2.870481943E0,0.00E+00
2.000119701E0,-1.25E+00,2.536499977E0,-3.54E-01,2.849111189E0,0.00E+00
2.010119701E0,-4.48E-01,2.370100021E0,-1.64E+00,2.916404158E0,0.00E+00
2.020119701E0,2.818999887E-1,2.706699848E0,-8.52E-01,2.851714824E0,0.00E+00
2.030121263E0,4.069999978E-2,2.457499981E0,-1.33E+00,2.793614304E0,0.00E+00
2.040121263E0,1.068099976E0,1.956699967E0,-1.02E+00,2.450639245E0,0.00E+00
2.050119701E0,1.865299940E0,1.597399950E0,7.458999753E-1,2.566592535E0,0.00E+00
2.060119701E0,2.262099981E0,1.515200019E0,2.674899817E0,3.816807102E0,0.00E+00
2.070119701E0,3.257299900E0,2.310699940E0,3.336799860E0,5.204187752E0,0.00E+00
2.080119701E0,3.563499928E0,2.547399998E0,3.934499979E0,5.887959627E0,0.00E+00
2.090121263E0,4.130599976E0,2.486799955E0,3.859899998E0,6.176152376E0,0.00E+00
2.100121263E0,5.015199661E0,1.906999946E0,3.102699995E0,6.198033857E0,0.00E+00
2.110121263E0,5.127299786E0,1.675099969E0,1.441200018E0,5.583208799E0,0.00E+00
2.120119701E0,3.954999924E0,-4.48E-01,9.050999880E-1,4.081892305E0,0.00E+00
2.130119701E0,3.356199980E0,-5.45E-01,1.166399956E0,3.594616143E0,0.00E+00
